,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Prep,5:30 AM - 7:00 AM,5:30 AM - 7:00 AM,5:30 AM - 7:00 AM,5:30 AM - 7:00 AM,5:30 AM - 7:00 AM,5:30 AM - 7:00 AM
BOH - Shift Leader,5:30 AM - 2:15 PM,5:30 AM - 2:15 PM,5:30 AM - 2:15 PM,5:30 AM - 2:15 PM,5:30 AM - 2:15 PM,5:30 AM - 2:15 PM
BOH - Shift Leader,1:30 PM - 9:00 PM,1:30 PM - 9:00 PM,1:30 PM - 9:00 PM,1:30 PM - 9:00 PM,1:30 PM - 9:00 PM,1:30 PM - 9:00 PM
BOH - Shift Leader,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM
BOH General,5:30 AM - 11:00 AM,5:30 AM - 11:00 AM,5:30 AM - 11:00 AM,5:30 AM - 11:00 AM,5:30 AM - 11:00 AM,5:30 AM - 11:00 AM
BOH General,6:15 AM - 2:30 PM,6:15 AM - 2:30 PM,6:15 AM - 2:30 PM,6:15 AM - 2:30 PM,6:15 AM - 2:30 PM,6:15 AM - 2:30 PM
BOH General,6:15 AM - 2:30 PM,6:15 AM - 2:30 PM,6:15 AM - 2:30 PM,6:15 AM - 2:30 PM,6:15 AM - 2:30 PM,6:15 AM - 2:30 PM
BOH General,6:15 AM - 2:15 PM,6:15 AM - 2:15 PM,6:15 AM - 2:15 PM,6:15 AM - 2:15 PM,6:15 AM - 2:15 PM,6:15 AM - 2:15 PM
BOH General,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM
BOH General,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM
BOH General,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM
BOH General,,,,,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM
BOH General,,,,,,8:00 AM - 4:15 PM
BOH General,9:30 AM - 2:00 PM,9:30 AM - 2:00 PM,9:30 AM - 2:00 PM,9:30 AM - 2:00 PM,9:30 AM - 2:00 PM,9:30 AM - 2:00 PM
BOH General,,,,8:30 AM - 11:00 AM,,
BOH General,11:00 AM - 7:30 PM,11:00 AM - 7:30 PM,,,,
BOH General,,,11:00 AM - 5:00 PM,11:00 AM - 5:00 PM,11:00 AM - 5:00 PM,
BOH General,11:30 AM - 1:30 AM,11:30 AM - 1:30 AM,11:30 AM - 1:30 AM,11:30 AM - 1:30 AM,,
BOH General,10:30 AM - 2:00 PM,10:30 AM - 2:00 PM,10:30 AM - 2:00 PM,10:30 AM - 2:00 PM,10:30 AM - 2:00 PM,10:30 AM - 2:00 PM
BOH General,,,,,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM
BOH General,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM
BOH General,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM
BOH General,2:30 PM - 10:45 PM,2:30 PM - 10:45 PM,2:30 PM - 10:45 PM,2:30 PM - 10:45 PM,2:30 PM - 10:45 PM,2:30 PM - 10:45 PM
BOH General,3:00 PM - 10:45 PM,3:00 PM - 10:45 PM,3:00 PM - 10:45 PM,3:00 PM - 10:45 PM,3:00 PM - 10:45 PM,
BOH General,,,,2:15 PM - 10:00 PM,2:15 PM - 10:00 PM,2:15 PM - 10:00 PM
BOH General,1:30 PM - 7:30 PM,1:30 PM - 7:30 PM,1:30 PM - 7:30 PM,1:30 PM - 7:30 PM,,
BOH General,4:30 PM - 10:45 PM,4:30 PM - 10:45 PM,4:30 PM - 10:45 PM,4:30 PM - 10:45 PM,4:30 PM - 10:45 PM,4:30 PM - 10:45 PM
BOH General,5:00 PM - 10:45 PM,5:00 PM - 10:45 PM,5:00 PM - 10:45 PM,5:00 PM - 10:45 PM,5:00 PM - 10:45 PM,5:00 PM - 10:45 PM
BOH General,,,5:00 PM - 10:00 AM,,5:00 PM - 10:00 AM,
BOH General,,,,,,5:00 PM - 10:45 PM
BOH General,,,,,,5:00 PM - 10:45 PM
Prep,5:45 AM - 1:00 PM,,,,,
Prep,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM
Prep,8:00 AM - 11:00 AM,8:00 AM - 11:00 AM,8:00 AM - 11:00 AM,8:00 AM - 11:00 AM,8:00 AM - 11:00 AM,
Prep,2:00 PM - 5:00 PM,,,,,
Prep,2:00 PM - 9:30 PM,2:00 PM - 9:30 PM,2:00 PM - 9:30 PM,2:00 PM - 9:30 PM,2:00 PM - 9:30 PM,2:00 PM - 8:00 PM
Truck,5:00 AM - 8:00 AM,5:00 AM - 8:00 AM,5:00 AM - 8:00 AM,5:00 AM - 8:00 AM,5:00 AM - 8:00 AM,5:00 AM - 8:00 AM
Truck,5:30 AM - 7:00 AM,5:30 AM - 7:00 AM,5:30 AM - 7:00 AM,5:30 AM - 7:00 AM,5:30 AM - 7:00 AM,5:30 AM - 7:00 AM
,,,,,,
FOH - Shift Leader,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM
FOH - Shift Leader,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM
FOH - Shift Leader,3:00 PM - 9:00 PM,3:00 PM - 9:00 PM,3:00 PM - 9:00 PM,3:00 PM - 9:00 PM,3:00 PM - 9:00 PM,3:00 PM - 9:00 PM
FOH General,6:00 AM - 11:00 AM,6:00 AM - 11:00 AM,6:00 AM - 11:00 AM,6:00 AM - 11:00 AM,6:00 AM - 11:00 AM,6:00 AM - 11:00 AM
